Date,AAPL,AMZN,BA,BAC,JNJ,MSFT,PFE,WMT,XOM
2011-09-29,11.738264083862305,11.121999740600586,50.71139907836914,5.007026672363281,43.03330612182617,19.852298736572266,9.88885498046875,13.019698143005371,43.0678596496582
2011-09-30,11.460261344909668,10.81149959564209,49.199073791503906,4.825671672821045,42.89188003540039,19.41545867919922,9.723858833312988,13.01216983795166,42.33919906616211
2011-10-03,11.258294105529785,10.598999977111816,47.36152267456055,4.360451698303223,41.80763244628906,19.13465118408203,9.531362533569336,13.027214050292969,41.4764404296875
2011-10-04,11.195185661315918,10.625,48.08515930175781,4.541808128356934,41.86823654174805,19.766489028930664,9.674358367919922,13.257875442504883,42.455787658691406
2011-10-05,11.367999076843262,10.975000381469727,48.75189208984375,4.549692153930664,41.98945236206055,20.19551658630371,9.88885498046875,13.200207710266113,43.108665466308594
2011-10-06,11.341545104980469,11.075499534606934,49.98775863647461,4.9518327713012695,42.29925537109375,20.54654312133789,10.026350021362305,13.225281715393066,43.07370376586914
2011-10-07,11.11403751373291,11.237000465393066,50.256072998046875,4.652199745178223,42.51475143432617,20.476333618164062,10.141853332519531,13.463459968566895,42.88132095336914
2011-10-10,11.685368537902832,11.565999984741211,52.061092376708984,4.9518327713012695,43.390228271484375,21.01457405090332,10.405847549438477,13.741758346557617,44.466941833496094
2011-10-11,12.030385971069336,11.77400016784668,52.012306213378906,5.02279806137085,43.07371520996094,21.061370849609375,10.367347717285156,13.719194412231445,44.46111297607422
2011-10-12,12.087492942810059,11.840499877929688,52.2968864440918,5.188383102416992,43.32290267944336,21.03017807006836,10.350847244262695,13.839529037475586,44.97993087768555
2011-10-13,12.275032043457031,11.807499885559082,51.6545524597168,4.904520511627197,43.25554275512695,21.201780319213867,10.31784439086914,13.794405937194824,44.519405364990234
2011-10-14,12.682865142822266,12.33549976348877,51.94727325439453,4.880866527557373,43.58554458618164,21.271987915039062,10.471844673156738,13.904719352722168,45.53372573852539
2011-10-17,12.622459411621094,12.116499900817871,50.23167419433594,4.754703998565674,42.95922088623047,21.045778274536133,10.279348373413086,13.734235763549805,45.16063690185547
2011-10-18,12.690078735351562,12.194000244140625,51.60577392578125,5.235694885253906,43.383514404296875,21.30318832397461,10.433345794677734,14.012531280517578,45.98842239379883
2011-10-19,11.98020076751709,11.576499938964844,51.31306076049805,5.04645299911499,42.18476104736328,21.162790298461914,10.345345497131348,14.102787017822266,45.72026824951172
2011-10-20,11.880719184875488,11.680500030517578,50.808963775634766,5.101648330688477,42.11068344116211,21.09257698059082,10.301346778869629,14.132874488830566,45.88349914550781
2011-10-21,11.807384490966797,11.73900032043457,52.51640701293945,5.0937628746032715,42.95248794555664,21.186182022094727,10.482842445373535,14.270768165588379,46.711273193359375
2011-10-24,12.195085525512695,11.880499839782715,52.646522521972656,5.2987751960754395,43.592262268066406,21.2095890045166,10.647843360900879,14.235664367675781,46.734596252441406
2011-10-25,11.954654693603516,11.357500076293945,51.80904006958008,5.0937628746032715,42.89188003540039,20.913162231445312,10.37834358215332,14.218118667602539,46.309043884277344
2011-10-26,12.039706230163574,9.920000076293945,54.1181755065918,5.196269512176514,43.43064498901367,20.741554260253906,10.603843688964844,14.383589744567871,47.259239196777344
2011-10-27,12.162628173828125,10.33899974822998,54.87431716918945,5.69303035736084,44.110816955566406,21.256385803222656,10.91183853149414,14.493904113769531,47.73141860961914
2011-10-28,12.170442581176758,10.866000175476074,55.42721176147461,5.795534610748291,44.17816925048828,21.045778274536133,10.900838851928711,14.328433990478516,47.498252868652344
2011-10-31,12.165336608886719,10.67549991607666,53.49209976196289,5.385509967803955,43.36329650878906,20.77276039123535,10.592840194702148,14.220627784729004,45.52206802368164
2011-11-01,11.91678524017334,10.604999542236328,51.36185836791992,5.04645299911499,42.68312072753906,20.273523330688477,10.631345748901367,14.097772598266602,44.26874923706055
2011-11-02,11.943831443786621,10.781000137329102,52.3619384765625,5.2987751960754395,42.858219146728516,20.28912353515625,10.741341590881348,14.255727767944336,45.102352142333984
2011-11-03,12.113940238952637,10.91450023651123,53.81733322143555,5.448592185974121,43.32962417602539,20.69475746154785,10.933837890625,14.39612102508545,45.97093963623047
2011-11-04,12.028888702392578,10.824000358581543,53.50022506713867,5.117419242858887,43.18146514892578,20.476333618164062,10.812838554382324,14.416183471679688,45.772735595703125
2011-11-07,12.013561248779297,10.850000381469727,53.89863204956055,5.085877895355225,43.10065460205078,20.90536880493164,11.038339614868164,14.52649974822998,46.2565803527832
2011-11-08,12.208908081054688,10.899499893188477,54.53687286376953,5.148960113525391,43.67982864379883,21.186182022094727,11.154997825622559,14.872485160827637,46.77262496948242
2011-11-09,11.879817008972168,10.560999870300293,52.818546295166016,4.857210636138916,42.784122467041016,20.437332153320312,10.743907928466797,14.554076194763184,45.382808685302734
2011-11-10,11.577475547790527,10.53950023651123,53.04765319824219,4.754703998565674,43.18146514892578,20.499744415283203,10.993890762329102,14.57413387298584,46.1510124206543
2011-11-11,11.559440612792969,10.869500160217285,54.7578125,4.896635055541992,43.94245529174805,20.991167068481445,11.105000495910645,14.842401504516602,46.74919509887695
2011-11-14,11.398351669311523,10.946499824523926,55.592437744140625,4.770474910736084,43.713504791259766,20.874164581298828,10.993890762329102,14.764678001403809,46.303497314453125
2011-11-15,11.685973167419434,10.891500473022461,55.592437744140625,4.833555221557617,43.76736831665039,21.015621185302734,11.038339614868164,14.406157493591309,46.37972640991211
2011-11-16,11.563950538635254,10.599499702453613,54.28322219848633,4.652199745178223,43.37002944946289,20.489057540893555,10.871675491333008,14.210600852966309,45.88713073730469
2011-11-17,11.342754364013672,10.22599983215332,54.07866287231445,4.573348522186279,43.06023406982422,20.07251739501953,10.816129684448242,14.223126411437988,45.658424377441406
2011-11-18,11.26851749420166,9.857000350952148,55.19966506958008,4.557579517364502,42.999629974365234,19.88389778137207,10.849458694458008,14.348490715026855,45.681880950927734
2011-11-21,11.090292930603027,9.462499618530273,53.644989013671875,4.328909397125244,42.38679885864258,19.64811134338379,10.532804489135742,14.205580711364746,45.10133743286133
2011-11-22,11.315702438354492,9.616999626159668,52.65488052368164,4.234289646148682,42.359859466552734,19.483078002929688,10.499473571777344,14.253220558166504,44.58529281616211
2011-11-23,11.029584884643555,9.44950008392334,51.02655792236328,4.052933692932129,41.74702072143555,19.231578826904297,10.24948787689209,14.200563430786133,43.7349967956543
2011-11-25,10.926799774169922,9.119999885559082,51.37022018432617,4.0765886306762695,41.64506530761719,19.097970962524414,10.24948787689209,14.263242721557617,43.33622741699219
2011-11-28,11.303982734680176,9.707500457763672,53.178565979003906,4.139668941497803,42.392730712890625,19.545944213867188,10.605026245117188,14.353497505187988,44.47388458251953
2011-11-29,11.216222763061523,9.419500350952148,53.39949417114258,4.005622386932373,42.671417236328125,19.522375106811523,10.77723503112793,14.584163665771484,45.11307907104492
2011-11-30,11.486712455749512,9.614500045776367,56.206138610839844,4.29794454574585,43.99003601074219,20.103954315185547,11.149442672729492,14.767183303833008,47.17138671875
2011-12-01,11.658918380737305,9.856499671936035,58.079933166503906,4.369051933288574,43.8065071105957,19.868181228637695,11.127218246459961,14.694474220275879,46.790218353271484
2011-12-02,11.712113380432129,9.80150032043457,58.34178161621094,4.455959320068359,43.14040756225586,19.821025848388672,11.04944896697998,14.564109802246094,46.790218353271484
2011-12-05,11.811594009399414,9.812000274658203,58.16993713378906,4.574469089508057,43.065635681152344,20.198266983032227,11.0216703414917,14.626784324645996,47.177249908447266
2011-12-06,11.74968433380127,9.599499702453613,57.98993682861328,4.566567420959473,43.153987884521484,20.16683006286621,11.238325119018555,14.73709774017334,47.39424133300781
2011-12-07,11.693782806396484,9.765999794006348,57.769004821777344,4.653473377227783,43.8065071105957,20.119670867919922,11.371652603149414,14.761065483093262,47.54669189453125
